Starting payment batch @ Tue Aug 27 2019 20:00:03 GMT+0000 (UTC)
 
Found the following miner statistics: 
 
Miner Address:                             	Earned    	Paid      	Owed
0xba87004288df35288cf6ff3f3a09931ca6c575c0	1321.76409371	1321.76409371	0
0x35f8af7a30e5c94665255b456ecd507a89727a52	21629.8184235	21629.8184235	0
0x602cd80de210d4253f671276a85fabcfa3ee1c7f	197.73401485	197.73401485	0
0xb13069ab678acfa47627884b87bd891460cfba2e	82.22578624	82.22578624	0
0xcf7c5184a73c0774b1c6309e643dbe3d1ef57987	44157.02169581	44157.02169581	0
0x7464cad56ab234458f0ed51f593f978e7ab9f059	3682.93749355	3358.32024792	324.61724563
0x48f457c735a296efdb7932433db85080958e7df8	20.75811608	13.05138373	7.70673235
0x348026ee51cdcf52ba11f7f713fd2f657212450e	15.9950943	11.72814777	4.26694653
0x31ba50a6ab701884f4570526c22b1eab31c325d1	220.44640828	220.44640828	0
0xc428a5eec605fda02af8083ad1928b669b81957c	271.09809325	271.09809325	0
0xe3ae78a5c36799f0da33146ceacaf70ed26ce648	770.83594565	770.83594565	0
0x3287b9136f5bfad539ac8f60299cfce2a2b74015	1.0736156	1.0736156	0
0x1dc969f7efe6a27683b654a9cd9161781534b112	0	0	0
0xca1a7fc6cab553ce65f7c33c6e3eba6de954efc6	21.61261472	21.61261472	0
0x69e308f9a466d4691e9ad92f70128ba3a7ee6835	706.14205532	621.98255692	84.1594984
0x190d2957a18643ab372f8a55cce7d55ced122dd7	5603.78305546	5603.78305546	0
0xd0be215735ac9115764a7160cc52184a636a2896	812.96421481	812.96421481	0
0x2a6e955819a1f555f3f9b177e8168cc6c985769a	2046.61897601	2046.61897601	0
0x4729cc46bd3645cb2e06738887d589a5b9e05d75	143.72238648	143.72238648	0
0xfc757f33b7b7b847e783502283193261da0bf381	0	0	0
0xd1ab10ea23535fb2a5c5395278634ff66caeb0c8	54.70302364	54.70302364	0
0x12ea9a27c5fe5268bb3fb15b0384457316ea0cf1	2638.39240968	2233.45152628	404.9408834
0x0a398866fa148b6e54a0d49f1d1df8327bdc7a82	17447.74287197	17447.74287197	0
0x7c4aadec857e13e4a5642b4041a2f36274ffe8ce	9483.11103114	9474.11080149	9.00022965
0x292430944397b8875d27cc21f9f9d0245a808c60	4112.43356858	4112.43356858	0
0x7cfa3582744ee97c12b93322b6f81b466067de69	1028.28522563	882.9633301	145.32189553
0xd26d97eb24033c0dd15ebd0886a1f7d0fd59677f	1606.32841371	1606.32841371	0
0xd766d89d3492df23f2b5a6df1720184c725d9f48	581.22005848	581.22005848	0
0xa98d36a1f70982e76812590fdaac9562591e71c8	6186.21421857	6186.21421857	0
0x1a2d5521a1afc7d93d3f7775c7eff494079a296b	2060.11077904	2060.11077904	0
0x03ad41cf80b3bfd2ae180360ecb16005851b31b9	737.14571289	706.61971359	30.5259993
0xfc582412bd2ac061e2daf960d1b36efafa3fab06	1306.25308022	1261.22877317	45.02430705
0x30385a99e66469a8c0bf172896758dd4595704a9	1.05073043	1.05073043	0
0x458258867ca59fdf0ea97eaaadac0bcc03541788	1071.69947626	1071.69947626	0
0x39906944b7732a986699f290d2dddc34ffdcbb30	6174.8594796	6164.58175179	10.27772781
0xaa21cfdc71fbbe996f7457e18ed7f353e1ef8475	6528.18363905	6528.18363905	0
0xe433c23df7e88a31a06f337a29ce733a2e11d863	1575.78307262	1575.78307262	0
0x4e4c92117df4e9adfb8b5e6813bb9458346e0f79	21.94446402	21.94446402	0
0x84c7fe58cfdf4bfd323fbc8939f9ca9e4eff41ac	21588.43409235	21301.25788595	287.1762064
0x92bb6654fec094b31a2dd12050f43c089266d52f	203.3270729	197.37882371	5.94824919
0x569d07f21811f012f19715ed231eaa660db28f91	0	0	0
0xaa4dce781266c9c55979add1021289de2db78d80	8434.34854242	8417.12619577	17.22234665
0xe4794b13d97c73463e1583e7bf0f544b6b228f82	1458.18831048	1458.18831048	0
0x6e0ea3db88b9c1c72cda80b1bead95cb84deebc0	3565.88190204	3551.2375289	14.64437314
0xa804e933301aa2c919d3a9834082cddda877c205	1150.96158726	1149.32160601	1.63998125
0x30b911e0a2494050535a05dc5a931315da332c2d	1.02274933	1.02274933	0
0xb4ee155e985b4bd6e89c43070c409d028874eaa9	16198.81047106	16198.81047106	0
0x70b0db245239ce225d6c2193f4b2c301f4cda438	591.13876354	591.13876354	0
0xf422c6910c86f5964d6764b44ec582d03904d984	8457.19847638	8457.19847638	0
0x0f7369c25244fb26ab5f78c51b372f38da3341b0	2888.6951198	2860.95081111	27.74430869
0xa9821d2192c5910202e33b11d5e47e7d97674391	30.1470052	30.1470052	0
0x4c7c8acea61ab5bdc3e479c3c91f56599e476fd9	1.07756871	1.07756871	0
0x93c327d0625fd8881ec5b7c9d7926cb4a96e3330	218.19954576	212.88386142	5.31568434
